time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,2.5,78.1,0,0,0,0.0
2,0.0,78.2,0,0,0,0.0
3,0.0,78.1,0,0,0,0.0
4,0.0,78.1,0,0,0,0.0
5,0.0,78.0,0,0,0,0.0
6,0.0,78.0,0,0,0,0.0
7,2.5,78.0,0,0,0,0.0
8,2.5,77.9,0,0,0,0.0
9,0.0,77.9,0,0,0,0.0
10,0.0,77.7,0,0,0,0.0
11,2.5,77.7,0,0,0,0.0
12,0.0,77.6,0,0,0,0.0
13,0.0,77.6,0,0,0,0.0
14,2.4,77.6,0,0,0,0.0
15,0.0,77.6,0,0,0,0.0
16,2.5,77.6,0,0,0,0.0
17,5.0,77.5,0,0,0,0.0
18,2.4,77.5,0,0,0,0.0
19,0.0,77.6,0,0,0,0.0
20,0.0,77.6,0,0,0,0.0
21,0.0,77.6,0,0,0,0.0
22,2.4,77.6,0,0,0,0.0
23,2.5,77.6,0,0,0,0.0
24,0.0,77.6,0,0,0,0.0
25,0.0,77.6,0,0,0,0.0
26,0.0,77.6,0,0,0,0.0
27,2.4,77.6,0,0,0,0.0
28,2.4,77.6,0,0,0,0.0
29,2.5,77.6,0,0,0,0.0
30,2.4,77.6,0,0,0,0.0
31,0.0,77.6,0,0,0,0.0
32,0.0,77.6,0,0,0,0.0
33,0.0,77.6,0,0,0,0.0
34,4.8,77.5,0,0,0,0.0
35,4.9,77.5,0,0,0,0.0
36,0.0,77.5,0,0,0,0.0
37,0.0,77.5,0,0,0,0.0
38,0.0,77.7,0,0,0,0.0
39,4.8,77.7,0,0,0,0.0
40,0.0,77.6,0,0,0,0.0
41,0.0,77.6,0,0,0,0.0
42,0.0,77.6,0,0,0,0.0
43,0.0,77.6,0,0,0,0.0
44,2.4,77.6,0,0,0,0.0
45,0.0,77.6,0,0,0,0.0
46,2.5,77.6,0,0,0,0.0
47,4.9,77.6,0,0,0,0.0
48,2.5,77.6,0,0,0,0.0
49,2.6,77.7,0,0,0,0.0
50,2.4,77.7,0,0,0,0.0
51,0.0,77.7,0,0,0,0.0
52,0.0,77.7,0,0,0,0.0
53,2.5,77.6,0,0,0,0.0
54,0.0,77.6,0,0,0,0.0
55,0.0,77.6,0,0,0,0.0
